TDP_W,AirVel_ms,k_TIM,R_th,T_junction
30.0,0.5,1.0,0.4421804040593512,38.265412121780535
30.0,0.5,2.0,0.42101638289533005,37.6304914868599
30.0,0.5,3.0,0.41396170917398967,37.418851275219694
30.0,0.5,4.0,0.4104343723133195,37.313031169399586
30.0,0.5,5.0,0.4083179701969174,37.24953910590752
30.0,0.5,6.0,0.4069070354526493,37.20721106357948
30.0,0.5,7.0,0.40589922492102926,37.176976747630874
30.0,0.5,8.0,0.40514336702231424,37.15430101066943
30.0,0.5,9.0,0.40455547754553584,37.13666432636607
30.0,0.5,10.0,0.40408516596411315,37.1225549789234
30.0,0.5,11.0,0.40370036557931277,37.111010967379386
30.0,0.5,12.0,0.4033796985919791,37.10139095775937
30.0,1.5357142857142858,1.0,0.37981530906206984,36.3944592718621
30.0,1.5357142857142858,2.0,0.3586512878980487,35.75953863694146
30.0,1.5357142857142858,3.0,0.3515966141767083,35.54789842530125
30.0,1.5357142857142858,4.0,0.3480692773160381,35.44207831948114
30.0,1.5357142857142858,5.0,0.3459528751996359,35.37858625598908
30.0,1.5357142857142858,6.0,0.3445419404553679,35.33625821366104
30.0,1.5357142857142858,7.0,0.3435341299237478,35.306023897712436
30.0,1.5357142857142858,8.0,0.34277827202503275,35.28334816075098
30.0,1.5357142857142858,9.0,0.3421903825482544,35.265711476447635
30.0,1.5357142857142858,10.0,0.3417200709668317,35.25160212900495
30.0,1.5357142857142858,11.0,0.34133527058203134,35.24005811746094
30.0,1.5357142857142858,12.0,0.3410146035946977,35.23043810784093
30.0,2.5714285714285716,1.0,0.35811006473162815,35.74330194194884
30.0,2.5714285714285716,2.0,0.336946043567607,35.10838130702821
30.0,2.5714285714285716,3.0,0.3298913698462666,34.896741095387995
30.0,2.5714285714285716,4.0,0.3263640329855964,34.790920989567894
30.0,2.5714285714285716,5.0,0.3242476308691943,34.72742892607583
30.0,2.5714285714285716,6.0,0.3228366961249262,34.685100883747786
30.0,2.5714285714285716,7.0,0.32182888559330614,34.65486656779918
30.0,2.5714285714285716,8.0,0.3210730276945911,34.632190830837736
30.0,2.5714285714285716,9.0,0.32048513821781277,34.61455414653438
30.0,2.5714285714285716,10.0,0.32001482663639,34.600444799091704
30.0,2.5714285714285716,11.0,0.31963002625158965,34.588900787547686
30.0,2.5714285714285716,12.0,0.319309359264256,34.57928077792768
